0,1,2,3,4,5,6,7,8,9
2934,313,25,192,31,918,144,212,203,2770
3229,348,12,0,0,3900,197,220,161,1442
3232,45,8,430,19,6218,222,223,136,1020
2315,335,21,60,13,1180,167,207,176,277
2710,346,24,134,71,1499,165,194,162,1209
3300,131,10,150,32,3279,237,235,128,607
3258,220,22,95,16,2397,188,254,195,589
3116,113,15,390,3,3590,245,223,103,3120
2583,79,1,108,5,882,220,236,152,1448
2936,243,20,124,46,6073,175,251,210,4901
3266,45,10,60,9,4309,223,217,128,666
3146,344,17,90,27,1680,184,212,165,2255
2740,7,25,466,213,968,180,181,130,808
3021,94,12,180,-28,3580,238,222,113,5495
3093,309,18,277,-27,2107,168,225,197,2315
2828,60,10,30,5,541,228,218,122,495
3289,121,15,0,0,1729,244,227,107,1826
2781,354,12,0,0,1421,200,219,157,2296
3064,234,6,573,88,6099,209,246,174,1616
2570,77,12,134,40,1421,235,217,112,4684
3065,135,12,175,28,404,239,234,123,1208
3224,242,4,255,3,5939,213,242,167,1681
3153,148,20,402,75,295,242,234,113,3510
2991,311,10,721,-129,1597,193,233,180,1978
3179,355,17,242,53,582,191,208,154,1879
3218,21,7,30,0,400,216,226,147,990
2899,51,18,134,46,1749,226,198,100,2881
2699,22,10,192,20,2244,214,218,140,1943
3092,47,19,870,-94,1661,223,196,100,2225
2531,90,3,277,10,390,224,234,146,1209
2790,97,20,85,11,2865,248,207,80,2184
3563,341,21,210,69,1830,170,203,169,2244
2883,31,12,624,70,2110,216,213,130,1177
3203,106,17,626,276,1674,247,217,93,2860
3065,33,8,242,8,3187,219,222,139,1416
2963,330,17,433,48,3212,177,216,178,1931
2902,306,30,212,79,1090,125,208,216,1371
2835,309,10,30,6,2438,193,234,180,2173
3220,278,19,576,79,272,165,239,213,2218
2910,200,17,127,44,3340,211,253,171,2060
3286,351,15,120,35,3855,192,213,158,3998
2859,144,8,212,16,3048,232,239,138,2474
3036,8,9,0,0,4702,210,223,150,2145
3166,325,11,525,157,794,191,227,176,1909
3111,154,16,690,70,1100,238,239,126,2033
